teacher_comment,recommendation
"Student with chronic health condition requiring frequent absences.","Prioritize wellbeing (5) with wellbeing_penalty_weight at 85 and ensure friend_inclusion_weight at 75 for consistent peer support during absences."
"Student who benefits from technology-enhanced learning environments.","Balance academic priority (4) with specialized grouping considerations. Set academic as priority with complementary peer skills and technology integration."
"Student who has difficulty with unstructured social situations.","Set friendship priority (4) with min_friends_required at 2 and wellbeing priority (4). Ensure structured social opportunities and clear expectations."
"Student with strong interest in environmental sustainability projects.","Prioritize academic (4) with project-based learning opportunities. Balance with social influence (3) to leverage environmental leadership capabilities."
"Student who serves as a liaison between students and teachers.","Set social influence priority (5) with influence_std_weight at 80 and strategic class placement. Balance academic priority (3) to maintain engagement."
"Student with selective mutism requiring specialized communication support.","Prioritize wellbeing (5) with wellbeing_penalty_weight at 85 and stable friendship groupings. Set min_friends_required at 2 with careful selection."
"Student who demonstrates different abilities across different assessment formats.","Balance academic priority (4) with diverse assessment opportunities. Set gpa_penalty_weight at 65 with complementary peer skill groupings."
"Need to balance academic performance across all classes.","I recommend prioritizing academic balance with a higher GPA penalty weight (65-75) and setting academic as the top priority (5). Ensure even distribution of high achieving students."
"Want to improve student wellbeing and happiness in classes.","For student wellbeing focus, set wellbeing_penalty_weight to 75-85 and make it the top priority (5). Increase min_friends_required to 2 and friend_inclusion_weight to 70."
"Concerned about bullying incidents in previous class arrangements.","To address bullying concerns, set bully_penalty_weight to 85-95 and make bullying prevention the top priority (5). Consider specific student separation and targeted monitoring."
"Need to distribute social leaders more evenly across classes.","For better social dynamics, increase influence_std_weight to 75 and prioritize social influence (5). Set isolated_std_weight to 70 to balance social distribution."
"Want to maintain important friendship connections.","To optimize friendship connections, set min_friends_required to 2, increase friend_inclusion_weight to 75-85, and prioritize friendship (5) for better social outcomes."
"Students with special needs should be prioritized.","Set wellbeing as highest priority (5) with wellbeing_penalty_weight at 80-85 and appropriate accommodations. Ensure min_friends_required is set to 2 for consistent support."
"Math scores were lower last semester, need to improve.","Prioritize academic (5) with gpa_penalty_weight at 75-85 and strategic grouping of students. Consider balancing high and struggling math students."
"Ensure gifted students are appropriately challenged.","Set academic as highest priority (5) with gpa_penalty_weight at 80-90. Consider specialized grouping strategies for advanced learners." 
